 作者  MrSatan (老大!!!!!!!!)                                    看板  C_Chat 
 標題  Re: [推投] 最喜歡日本女聲優前三名 "積分制"投票結果                     
 時間  Wed May  6 21:00:17 2020                                               
───────────────────────────────────────

共307人投/總票數865票/出現162位女聲優
有修正格式/名字

第十名
東山奈央 第一名票: 7票 總票數:24票 總積分: 47分  28歲(並列)
 種田梨沙 第一名票: 9票 總票數:21票 總積分: 47分  31歲
https://i.imgur.com/gEKQjfO.jpg

第九名
佐倉綾音 第一名票: 9票 總票數:28票 總積分: 53分  26歲
https://i.imgur.com/KKojdZ7.jpg

第八名
林原惠   第一名票:14票 總票數:21票 總積分: 54分  53歲
https://i.imgur.com/vUYjk1C.jpg

第七名
悠木碧   第一名票: 8票 總票數:31票 總積分: 60分  28歲
https://i.imgur.com/nJdGcL3.jpg

第六名
水瀨祈   第一名票:14票 總票數:29票 總積分: 66分  24歲
https://i.imgur.com/UYkQZdQ.jpg
第四名
花澤香菜 第一名票:12票 總票數:38票 總積分: 76分  31歲
https://i.imgur.com/XUVbmIH.jpg

第三名
高橋李依 第一名票:15票 總票數:38票 總積分: 77分  26歲
https://i.imgur.com/jm2lR5y.jpg

第二名
茅野愛衣 第一名票:15票 總票數:38票 總積分: 82分  32歲
https://i.imgur.com/p7hGMn2.jpg

第一名
早見沙織 第一名票:26票 總票數:71票 總積分:149分  28歲
https://i.imgur.com/kDwsz6q.jpg


第一 第一 第二 第三 總票 票數  總 
 RK 聲優     名票 票率 名票 名票  數 /人數 積分
1 早見沙織   26 8.5%  26   19   71 23.1%  149  28歲(1991/05/29)
2 茅野愛衣   15 4.9%  14    9   38 12.4%   82  32歲(1987/09/13)
3 高橋李依   15 4.9%   9   14   38 12.4%   77  26歲(1994/02/27)
4 花澤香菜   12 3.9%  14   12   38 12.4%   76  31歲(1989/02/25)
7 悠木碧      8 2.6%  13   10   31 10.1%   60  28歲(1992/03/27)
 8 林原惠     14 4.6%   5    2   21  6.8%   54  53歲(1967/03/30)
9 佐倉綾音    9 2.9%   7   12   28  9.1%   53  26歲(1994/01/29)
10 東山奈央    7 2.3%   9    8   24  7.8%   47  28歲(1992/03/11)
 10 種田梨沙    9 2.9%   8    4   21  6.8%   47  31歲(1988/07/12)
12 釘宮理惠    9 2.9%   6    4   19  6.2%   43
13 能登麻美子  7 2.3%   6    6   19  6.2%   39
14   坂
本真綾    6 2.0%   9    2   17  5.5%   38
15 水樹奈奈    8 2.6%   4    5   17  5.5%   37
16 雨宮天      7 2.3%   2    7   16  5.2%   32
16 內田真禮    4 1.3%   8    4   16  5.2%   32
18 南條愛乃    6 2.0%   5    0   11  3.6%   28
19 小原好美    3 1.0%   7    4   14  4.6%   27
19 愛美
5 1.6%   5    2   12  3.9%   27
21 上田麗奈    7 2.3%   1    3   11  3.6%   26
22 竹達彩奈    4 1.3%   3    4   11  3.6%   22
22 植田佳奈    4 1.3%   3    4   11  3.6%   22
24 大橋彩香    3 1.0%   4    1    8  2.6%   18
25 伊藤美來    3 1.0%   2    4    9  2.9%   17
26 小清水亞美  3 1.0%   2    3    8  2.6%   16
26 堀江由衣    3 1.0%   2    3    8  2.6%   16
26 三石琴乃    4 1.3%   1    2    7  2.3%   16
29 豐崎愛生    2 0.7%   2    5    9  2.9%   15
30 川澄綾子    2 0.7%   3    3    8  2.6%   15
31 黑澤朋世    3 1.0%   1    3    7  2.3%   14
31 M.A.O       2 0.7%   3    2    7  2.3%   14
31 井口裕香    4 1.3%   1    0    5  1.6%   14
34 阿澄佳奈    2 0.7%   3    1    6  2.0%   13
35 本渡楓      0 0.0%   4    4    8  2.6%   12
35 三森鈴子    3 1.0%   1    1    5  1.6%   12
35 石川由依    4 1.3%   0    0    4  1.3%   12
38 井上喜久子  3 1.0%   0    2    5  1.6%   11
38 中原麻衣    2 0.7%   2    1    5  1.6%   11
38 伊藤加奈惠  2 0.7%   2    1    5  1.6%   11
41 伊波杏樹    2 0.7%   1    2    5  1.6%   10
41 種崎敦美    2 0.7%   1    2    5  1.6%   10
41 日笠陽子    2 0.7%   2    0    4  1.3%   10
44 齋藤千和    2 0.7%   0    3    5  1.6%    9
44 戶松遙      1 0.3%   2    2    5  1.6%    9
44 田村由香里  1 0.3%   3    0    4  1.3%    9
44 遠藤祐里香  3 1.0%   0    0    3  1.0%    9
48 大西沙織    1 0.3%   1    3    5  1.6%    8
聰美    2 0.7%   1    0    3  1.0%    8
50 相羽あいな  2 0.7%   0    1    3  1.0%    7
51 小倉唯      0 0.0%   2    2    4  1.3%    6
51 井上麻里奈  0 0.0%   2    2    4  1.3%    6
51 鬼頭明里    0 0.0%   2    2    4  1.3%    6
51 小松未可子  1 0.3%   1    1    3  1.0%    6
51 高森奈津美  1 0.3%   1    1    3  1.0%    6
56 前島亞美    0 0.0%   1    3    4  1.3%    5
56 古賀葵      1 0.3%   0    2    3  1.0%    5
56 田所梓      1 0.3%   0    2    3  1.0%    5
56 野中藍      1 0.3%   0    2    3  1.0%    5
56 ゆかな      0 0.0%   2    1    3  1.0%    5
56 小林愛香    0 0.0%   2    1    3  1.0%    5
56 安野希世乃  0 0.0%   2    1    3  1.0%    5
56 佐藤聰美    1 0.3%   1    0    2  0.7%    5
56 洲崎綾      1 0.3%   1    0    2  0.7%    5
56 桑島法子    1 0.3%   1    0    2  0.7%    5
56 野澤雅子    1 0.3%   1    0    2  0.7%    5
56 鈴木愛奈    1 0.3%   1    0    2  0.7%    5
68 喜多村英梨  0 0.0%   1    2    3  1.0%    4
68 小見川千明  1 0.3%   0    1    2  0.7%    4
68 中島由貴    1 0.3%   0    1    2  0.7%    4
68 夏川椎菜    0 0.0%   2    0    2  0.7%    4
68 島本須美    0 0.0%   2    0    2  0.7%    4
68 菅沼千紗    0 0.0%   2    0    2  0.7%    4
76 平野綾      0 0.0%   0    3    3  1.0%    3
76 上  坂
堇      0 0.0%   1    1    2  0.7%    3
76 田中美海    0 0.0%   1    1    2  0.7%    3
76 伊藤靜      0 0.0%   1    1    2  0.7%    3
76 名塚佳織    0 0.0%   1    1    2  0.7%    3
76 佐藤利奈    0 0.0%   1    1    2  0.7%    3
76 淺川悠      0 0.0%   1    1    2  0.7%    3
76 瀨戶麻沙美  0 0.0%   1    1    2  0.7%    3
76 三澤紗千香  1 0.3%   0    0    1  0.3%    3
76 內田彩      1 0.3%   0    0    1  0.3%    3
76 木野日菜    1 0.3%   0    0    1  0.3%    3
76 水橋香織    1 0.3%   0    0    1  0.3%    3
76 加隈亞衣    1 0.3%   0    0    1  0.3%    3
76 甲斐田幸    1 0.3%   0    0    1  0.3%    3
76 折笠愛      1 0.3%   0    0    1  0.3%    3
76 赤尾光      1 0.3%   0    0    1  0.3%    3
76 長  縄
まりあ  1 0.3%   0    0    1  0.3%    3
76 茅原實里    1 0.3%   0    0    1  0.3%    3
76 桑原由氣    1 0.3%   0    0    1  0.3%    3
76 紡木吏佐    1 0.3%   0    0    1  0.3%    3
76 高野麻里佳  1 0.3%   0    0    1  0.3%    3
76 野上菜月    1 0.3%   0    0    1  0.3%    3
76 雪野五月    1 0.3%   0    0    1  0.3%    3
76 照井春佳    1 0.3%   0    0    1  0.3%    3
76 鈴木實里    1 0.3%   0    0    1  0.3%    3
76 諏訪奈奈香  1 0.3%   0    0    1  0.3%    3
102 丹下櫻      0 0.0%   0    2    2  0.7%    2
102 今井麻美    0 0.0%   0    2    2  0.7%    2
102 金元壽子    0 0.0%   0    2    2  0.7%    2 生日中位數(1987/12/16)
102 橫山智佐    0 0.0%   0    2    2  0.7%    2
102 かの仔      0 0.0%   1    0    1  0.3%    2
102 大塚紗英    0 0.0%   1    0    1  0.3%    2
102 山下七海    0 0.0%   1    0    1  0.3%    2
102 加藤英美里  0 0.0%   1    0    1  0.3%    2
102 生天目仁美  0 0.0%   1    0    1  0.3%    2
102 白鳥由里    0 0.0%   1    0    1  0.3%    2
102 石原夏織    0 0.0%   1    0    1  0.3%    2
102 朴璐美      0 0.0%   1    0    1  0.3%    2
102 志崎樺音    0 0.0%   1    0    1  0.3%    2
102 津田美波    0 0.0%   1    0    1  0.3%    2
102 相  坂
優歌    0 0.0%   1    0    1  0.3%    2
102 倉知玲鳳    0 0.0%   1    0    1  0.3%    2
102 原由  实
      0 0.0%   1    0    1  0.3%    2
102   冨
田美憂    0 0.0%   1    0    1  0.3%    2
102 渡邊明乃    0 0.0%   1    0    1  0.3%    2
102 奧井雅美    0 0.0%   1    0    1  0.3%    2
